[CharacterID],[ProfileMapId],[FirstName],[LastName],[Codename],[Gender],[Age],[DOB_Day],[DOB_Month],[DOB_Year],[Height],[NationalityId],[RaceId],[Timeline],[TitleId],[ArchetypeId],[TeamId],[Description]
CHR0023,PR0023,Oraih,Thames,,Female,21,25,7,1996,150 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0024,PR0024,Rochelle,Arslan,,Female,21,31,3,1996,164 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0025,PR0025,Gaddal,Bridge,,Male,22,20,5,1995,166 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0026,PR0026,Ges Valon,Cavallieri,,Male,18,10,8,1999,168 cm,Nation02,Race01,Present,Student,Good,Team18,Leoverdes younger brother. Impatient and active. Gets into lots of trouble and always gets told by his older brother
CHR0027,PR0027,Sedrick III,Aidleigh,,Male,51,5,9,1966,182 cm,Nation02,Race01,Present,Ruler,Good,,Current King of Rivelia. Establishging the Kindgom his Father King Vastien forsaw. 
CHR0028,PR0028,Katrea,Aidleigh,,Female,45,25,10,1972,176 cm,Nation02,Race01,Present,RoyalHouse,Good,,Wife of Kind Sedrick. She is of Royal blood and her maiden name is Dhronning. She possesses the will of the Wind and formerly the Wind XXX
CHR0029,PR0029,Helenny,Aidleigh,,Female,20,24,6,1997,174 cm,Nation02,Race07,Present,RoyalHouse,Good,,Daughter of King Sedrick. She is also a Yommine of Wind
CHR0030,PR0030,Jordan,Aidleigh,,Male,26,25,5,1991,184 cm,Nation02,Race01,Present,Duke (Lynstra),Good,Team05,Son of King Sedrick. Unseen Lynstra of the Capital and percieved to have died by the last attack of the King od Edoma. He acts as a mole in the Edoman Army
CHR0031,PR0031,Navoly,Ramitts,,Male,73,27,2,1944,193 cm,Nation02,Race01,Present,Chief Advisor,Good,,Chief Advisor of King Sedrick
CHR0032,PR0032,Yohden,Mazekow,,Male,67,13,10,1950,171 cm,Nation02,Race01,Present,Chief Advisor,Good,,Chief Advisor of King Sedrick
CHR0033,PR0033,Gorvelich,Augutz,,Male,64,27,7,1953,185 cm,Nation02,Race01,Present,Chief Advisor,Good,,Chief Advisor of King Sedrick
CHR0034,PR0034,Axel,Solidor,,Male,30,6,8,1987,175 cm,Nation02,Race01,Present,Duke (Lynstra),Good,,Lynstra of South and West Rivelia. Jordans friend and 1 of the 8 people to know he is alive
CHR0035,PR0035,Marsden,Nekareen,,Male,31,1,10,1986,180 cm,Nation02,Race01,Present,Duke (Lynstra),Good,,Lynstra of North and East Rivelia. He has been asked to marry Maelinn but is committed to his duty.
CHR0036,PR0036,Dixy,Laskaris,,Male,37,27,9,1980,185 cm,Nation02,Race01,Present,General,Good,,General of the Space Army Force
CHR0037,PR0037,Cean,Wintedor,,Female,31,31,3,1986,148 cm,Nation02,Race01,Present,General,Good,,General of the Medic Army Force
CHR0038,PR0038,Hildad,Barathione,,Male,33,28,9,1984,190 cm,Nation02,Race01,Present,General,Good,,General of the Land Army Force
CHR0039,PR0039,Auren,Klauss,,Male,43,4,3,1974,175 cm,Nation02,Race01,Present,General,Good,,House Klauss. General of Maritime Army Force
CHR0040,PR0040,Sayeahra,Venhought,,Female,42,10,10,1975,148 cm,Nation02,Race01,Present,Covet Missions,Good,,House (Maiden) Loughton. Cadel's Mom. Was orignially Sedrick's lover but due to not being of Royal descent was barred from marrying him. Later married Christopher whom she fell in love with after returning from a mission. She stayed with Chris and Cadel for 5 years before going back on missions.
CHR0041,PR0041,Isabelle,Cornaro,,Female,39,16,1,1978,169 cm,Nation02,Race01,Present,High Noble,Good,,House Cornaro (Wealth Aristocrat). Governor of Central Rivelia
CHR0042,PR0042,Balthier,Deonaga,,Male,38,15,4,1979,184 cm,Nation02,Race01,Present,High Noble,Good,,House Deonaga. Governor of Northeast Rivelia
CHR0043,PR0043,Kamia,Solidor,,Female,35,19,9,1982,157 cm,Nation02,Race01,Present,High Noble,Good,,House Solidor. Governor of Northwest Rivelia
CHR0044,PR0044,Luchrious,Deonaga,,Male,34,7,11,1983,170 cm,Nation02,Race01,Present,Noble,Good,,House Deonaga. Cousin to Balthier
CHR0045,PR0045,Nivokus,Persie,,Male,36,2,2,1981,187 cm,Nation02,Race01,Present,High Noble,Good,,House Persie. From the House Fringman. Governor of Southeast Rivelia
CHR0046,PR0046,Charmaine,Henkworth,,Female,23,1,4,1994,168 cm,Nation02,Race01,Present,High Noble,Good,,House Henkworth (Maiden: Dhronning). Governor of Southwest Rivelia. Her father died leaving her to inherit his domain and making her the youngest governor.
CHR0047,PR0047,Maelinn,Cosarates,,Female,27,29,11,1990,144 cm,Nation02,Race02,Present,Noble,Good,Team13,House Cosarates. Exiled 2nd Princess of State in Pillas. Her sister (1st Princess) was captured and after a failed rescue mission was killed. She escaped with a few 50 members (12 warriors) of her clan and sought solace upon reaching Rivelia. She took and Oath and a place in the East for her and her people was created. She has been asked to consider marrying Marsden and was made a Noble
CHR0048,PR0048,Commodior,Peters,,Male,41,26,1,1976,192 cm,Nation02,Race01,Present,Noble,Good,,Non
CHR0049,PR0049,Leoverdes,Cavallieri,,Male,25,31,4,1992,182 cm,Nation02,Race01,Present,,Good,Team18,Son of Rav Sorcedelle, the Exiled. Had to overcome the public humiliation to retake his House's seat. known to be cold yet delicate and deadly.
CHR0050,PR0050,Mozeo,Larding,,Male,43,30,6,1974,192 cm,Nation02,Race01,Present,,Good,Team18,House Cavallieri (Vessel)
CHR0051,PR0051,Sylvia,Rabiolli,,Female,28,20,1,1989,140 cm,Nation02,Race01,Present,,Good,Team18,House Cavallieri (Vessel)
CHR0052,PR0052,Donna,Samuels,,Female,29,7,2,1988,157 cm,Nation02,Race01,Present,,Good,,Non
CHR0053,PR0053,Korreal,Minosay,,Male,35,29,12,1982,180 cm,Nation02,Race01,Present,,Good,,House Minosay
CHR0054,PR0054,Laydhin,DaSilva,,Male,38,8,11,1979,180 cm,Nation02,Race01,Present,,Good,,House Minosay (Vessel)
CHR0055,PR0055,Villazen,Hatem,,Male,37,1,3,1980,176 cm,Nation02,Race01,Present,,Good,,House Minosay (Vessel)
CHR0056,PR0056,Minoa,Davis,,Female,30,28,7,1987,174 cm,Nation02,Race01,Present,,Good,,Non
CHR0057,PR0057,Ethenel,Bridge,,Male,29,28,5,1988,190 cm,Nation02,Race01,Present,,Good,,Non
CHR0058,PR0058,Andrea,Sparkton,,Female,26,2,9,1991,175 cm,Nation02,Race01,Present,,Good,,Non
CHR0059,PR0059,Sidriell,Jhermiane,,Male,30,27,11,1987,177 cm,Nation02,Race01,Present,,Good,,Non
CHR0060,PR0060,Morwich,Keane,,Male,30,27,12,1987,170 cm,Nation02,Race01,Present,,Good,,Non
CHR0061,PR0061,Daelan,Hopper,,Male,31,16,9,1986,190 cm,Nation02,Race01,Present,,Good,,Non
CHR0062,PR0062,Ramis,Alpine,,Male,33,11,10,1984,187 cm,Nation02,Race01,Present,,Good,,Non
CHR0063,PR0063,Byleon,Balwing,,Male,52,30,2,1965,178 cm,Nation02,Race01,Present,,Good,,House Balwing
CHR0064,PR0064,Ryan,Walcott,,Male,64,28,8,1953,183 cm,Nation02,Race01,Present,,Good,,House Balwing (Vessel)
CHR0065,PR0065,Berille,Staines,,Female,33,29,4,1984,167 cm,Nation02,Race01,Present,,Good,,House Balwing (Vessel)
CHR0066,PR0066,Felisha,Noel,,Female,37,20,10,1980,142 cm,Nation02,Race01,Present,,Good,,Non
CHR0067,PR0067,Clover,Dale,,Female,43,7,5,1974,171 cm,Nation02,Race01,Present,,Good,,Non
CHR0068,PR0068,Chi,Dinma,,Female,27,14,10,1990,171 cm,Nation02,Race01,Present,,Good,,Non
CHR0069,PR0069,Kierra,Tanko,,Female,29,28,8,1988,150 cm,Nation02,Race01,Present,,Good,,Non
CHR0070,PR0070,Jonathan,Bushell,,Male,28,1,6,1989,172 cm,Nation02,Race01,Present,,Good,,Non
CHR0071,PR0071,Ulriqqa,Juellz,,Female,36,4,9,1981,153 cm,Nation02,Race01,Present,,Good,,Non
CHR0072,PR0072,Jacob,Sanchez,,Male,28,20,1,1989,171 cm,Nation02,Race01,Present,,Good,,House Theydoryan (Vessel)
CHR0073,PR0073,Gallen,Scezney,,Male,36,21,10,1981,191 cm,Nation02,Race01,Present,,Good,,House Theydoryan (Vessel)
CHR0074,PR0074,Jewlen,Gadran,,Male,29,11,7,1988,184 cm,Nation02,Race01,Present,,Good,,Non
CHR0075,PR0075,Zain,Dashim,,Male,29,25,7,1988,184 cm,Nation02,Race01,Present,,Good,,Non
CHR0076,PR0076,Nidan,Cage,,Male,33,19,5,1984,182 cm,Nation02,Race01,Present,,Good,,Non
CHR0077,PR0077,Adaliet,Storm,,Male,38,4,11,1979,182 cm,Nation02,Race01,Present,,Good,,Non
CHR0078,PR0078,Kevin,Looth,,Male,39,27,3,1978,172 cm,Nation02,Race01,Present,,Good,,Non
CHR0079,PR0079,Sarah,Theydoryan,,Female,27,25,12,1990,158 cm,Nation02,Race01,Present,,Good,,House Theydoryan
CHR0080,PR0080,Keyron,Flanks,,Male,37,7,12,1980,170 cm,Nation02,Race01,Present,,Good,,Non
CHR0081,PR0081,Bydene,Cahill,,Male,32,19,2,1985,193 cm,Nation02,Race01,Present,,Good,,Non
CHR0082,PR0082,Morvil,Minosay,,Male,31,2,10,1986,184 cm,Nation02,Race01,Present,,Good,,House Minosay
CHR0083,PR0083,Railow,Page,,Female,29,17,12,1988,159 cm,Nation02,Race01,Present,,Good,,Non
CHR0084,PR0084,Nekka,Cosarates,,Female,29,1,9,1988,176 cm,Nation02,Race01,Present,,Good,,House Cosarates (Vessel)
CHR0085,PR0085,Kirito,Deonaga,,Male,31,24,8,1986,195 cm,Nation02,Race01,Present,,Good,,House Deonaga
CHR0086,PR0086,Deniella,Radcliffe,,Female,38,21,3,1979,147 cm,Nation02,Race01,Present,,Good,,House Deonaga (Vessel)
CHR0087,PR0087,Heath,Lodgins,,Male,28,16,6,1989,193 cm,Nation02,Race01,Present,,Good,,House Deonaga (Vessel)
CHR0088,PR0088,Jennifer,Wallace,,Female,40,30,1,1977,172 cm,Nation02,Race01,Present,,Good,,Non
CHR0089,PR0089,Caderin,Newman,,Male,33,1,8,1984,176 cm,Nation02,Race01,Present,,Good,,Non
CHR0090,PR0090,Laine,Pennyworth,,Female,27,10,12,1990,155 cm,Nation02,Race01,Present,,Good,,Non
CHR0091,PR0091,Strider,Klauss,,Male,22,19,12,1995,183 cm,Nation02,Race01,Present,Student,Good,,House Klauss. Student at Elfinheim Corp
CHR0092,PR0092,Glade,Balwing,,Male,22,22,3,1995,187 cm,Nation02,Race01,Present,Student,Good,,House Balwing. Student at Elfinheim Corp
CHR0093,PR0093,Skylan,Theydoryan,,Male,21,12,7,1996,164 cm,Nation02,Race01,Present,Student,Good,,House Theydoryan. Student at Elfinheim Corp
CHR0094,PR0094,Cobalt,Vescisqo,,Male,22,14,3,1995,180 cm,Nation02,Race01,Present,Student,Bad,Team03,Student at Elfinheim Corp
CHR0095,PR0095,Sapphire,Arlei,,Female,19,11,11,1998,145 cm,Nation02,Race01,Present,Student,Bad,Team03,Student at Elfinheim Corp
CHR0096,PR0096,Kim,Latelle,,Female,31,2,7,1986,169 cm,Nation02,Race01,Present,,Good,,Non
CHR0097,PR0097,Nolleyega,Ivanovic,,Male,29,15,10,1988,179 cm,Nation02,Race01,Present,,Good,,Non
CHR0098,PR0098,Archilleon,Stevensson,,Male,38,25,8,1979,192 cm,Nation02,Race01,Present,,Good,,Non
CHR0099,PR0099,Vastien,Aidleigh,,Male,25,31,8,1992,182 cm,Nation02,Race06,Past,Ruler,Good,,22nd King of Rivelia. Died a legend and known as the Unifier of Rivelia. 
CHR0100,PR0100,Naomi,Barenhof,,Female,21,25,7,1996,163 cm,Nation02,Race01,Past,RoyalHouse,Good,,Wife of King Vastien. She began and led the creation of institutions and learning programmes in the new Rivelia. She was also head of the Rivelian Academys (Civil and Military).
CHR0101,PR0101,Jurial,Coppal,,Male,40,28,8,1977,174 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0102,PR0102,Priya,CanWharf,,Female,44,20,10,1973,151 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0103,PR0103,Nester,Pillon,,Male,47,9,2,1970,184 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0104,PR0104,Zoltan,Frazzio,,Male,51,1,4,1966,184 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0105,PR0105,Yohden,Mazekow,,Male,33,24,2,1984,174 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0106,PR0106,Joshaya,Macheda,,Male,47,1,2,1970,185 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0107,PR0107,Birkden,Gantz,,Male,38,28,11,1979,172 cm,Nation02,Race01,Past,Baron,Good,,Inheriter of Tizen's will. Also known as "The Brute"
CHR0108,PR0108,Mezut,Fringman,,Male,40,7,5,1977,180 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0109,PR0109,Henrik,Deagga,,Male,34,16,6,1983,172 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0110,PR0110,Selena,Palermo,,Female,38,29,10,1979,153 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0111,PR0111,Korra,Bernado,,Female,40,7,9,1977,166 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0112,PR0112,Navoly,Ramitts,,Male,37,9,2,1980,177 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0113,PR0113,Kelvin,Sorcedelle,,Male,35,1,5,1982,194 cm,Nation02,Race01,Past,Baron,Good,,Father of Rav Sorcedelle
CHR0114,PR0114,Gorvelich,Augutz,,Male,32,10,11,1985,176 cm,Nation02,Race01,Past,Baron,Good,,Non
CHR0115,PR0115,Kelieaza,Loughton,,Female,6,27,11,2011,160 cm,Nation02,Race01,Past,Baron,Good,,Cadels Mom and Christophers wife. The younger version of Cadel's Mom
CHR0116,PR0116,Hayden,Marshall,,Male,25,23,6,1992,183 cm,Nation02,Race01,Present,Student,Good,,Non
CHR0117,PR0117,Cornelius,Benjamin,,Male,25,24,4,1992,179 cm,Nation02,Race01,Present,Student,Good,,Cadels Mentor. Student at Cadels school
CHR0118,PR0118,Eckhardt,Vaan,,Male,26,9,11,1991,190 cm,Nation02,Race01,Present,Student,Good,,Non
CHR0119,PR0119,Nicolas,Stellar,,Male,26,12,3,1991,173 cm,Nation02,Race01,Past,,Bad,Team15,Member of the Group Amnesty
CHR0120,PR0120,Alberto,Ruiz,,Male,27,26,12,1990,183 cm,Nation02,Race01,Past,,Bad,Team15,Member of the Group Amnesty
CHR0121,PR0121,Marchen,Nowinz,,Male,25,9,10,1992,180 cm,Nation02,Race01,Present,Student,Neutral,,Non
CHR0122,PR0122,Sienna,Petrics,,Female,26,15,1,1991,180 cm,Nation02,Race01,Present,Student,Neutral,,Non
CHR0123,PR0123,Denzil,Mexes,,Male,25,25,1,1992,170 cm,Nation02,Race01,Past,,Bad,Team15,Member of the Group Amnesty
CHR0124,PR0124,Gabe,Huntley,,Male,22,5,1,1995,170 cm,Nation02,Race01,Present,,Neutral,Team14,Member of the Valowski Crew. Becomes Leader after Tej Valowski is killed.
CHR0125,PR0125,Paris,Love,,Female,24,16,12,1993,157 cm,Nation02,Race01,Present,,Neutral,Team14,Member of the Valowski Crew
CHR0126,PR0126,Brock,Phelps,,Male,27,1,2,1990,187 cm,Nation02,Race01,Past,,Bad,Team15,Leader of the Group Amnesty
CHR0127,PR0127,Cassie,Cosarates,,Female,35,29,9,1982,147 cm,Nation02,Race02,Present,,Good,Team13,House Cosarates (Vessel)
CHR0128,PR0128,Eric,Loujay,,Male,21,5,1,1996,177 cm,Nation02,Race02,Present,,Good,,Non
CHR0129,PR0129,Christopher,VenHought,,Male,57,10,5,1960,181 cm,Nation02,Race03,Present,,Good,,Son of Castrien Maples and Cadel's father. Is unaware of his fathers past and he has no battle skill but great forgery skills.
CHR0130,PR0130,Ramon,Letterden,,Male,42,28,3,1975,184 cm,Nation02,Race03,Present,,Good,,Non
CHR0131,PR0131,Sylvester,Sparrow,,Male,25,6,4,1992,173 cm,Nation02,Race03,Present,,Good,,Non
CHR0132,PR0132,Kelsie,Bernado,,Female,21,12,12,1996,164 cm,Nation02,Race03,Present,,Good,,Non
CHR0133,PR0133,Vinny,Judge,,Male,19,23,11,1998,186 cm,Nation02,Race03,Present,,Good,,Non
CHR0134,PR0134,Emmilio,Kaladin,,Female,27,15,3,1990,176 cm,Nation02,Race03,Present,,Good,,Non
CHR0135,PR0135,Castrien,Maples,,Male,28,5,7,1989,181 cm,Nation02,Race01,Past,Survivor,Good,,Only Octivilos survivor. Strongest Rivelian exile in lost childrens Arc. Vastiens Master who lived the rest of his life in a remote place
CHR0136,PR0136,Naigallon,Omrebat,Magma,Male,27,14,2,1990,186 cm,Nation02,Race02,Present,,Bad,Team25,House Omrebat. Leader of Magma
CHR0137,PR0137,Misha,Khedena,Crusher,Female,27,17,4,1990,177 cm,Nation02,Race02,Present,,Bad,Team25,House Omrebat (Vessel). Member of Magma
CHR0138,PR0138,Javin,Rogers,,Male,21,8,4,1996,147 cm,Nation03,Race01,Present,,Bad,Team25,Member of Magma
CHR0139,PR0139,Cristiano,Vela,,Male,22,28,8,1995,154 cm,Nation03,Race01,Present,,Bad,Team25,Member of Magma
CHR0140,PR0140,Iris,Lunar,,Female,22,9,9,1995,171 cm,Nation03,Race01,Present,,Neutral,,Non
CHR0141,PR0141,Adrian,Fagallon,,Male,44,31,3,1973,190 cm,Nation03,Race01,Present,,Neutral,,Non
CHR0142,PR0142,Extensa,Phillipinho,,Male,34,9,9,1983,174 cm,Nation03,Race01,Present,,Neutral,,Non
CHR0143,PR0143,Zinsh,Onaldo,,Male,31,27,10,1986,179 cm,Nation03,Race02,Present,,Neutral,,Non
CHR0144,PR0144,Agrabin,Monnar,,Male,38,9,4,1979,187 cm,Nation03,Race02,Present,,Neutral,,Non
CHR0145,PR0145,Kordek,Langley,,Male,31,10,3,1986,184 cm,Nation03,Race02,Present,,Neutral,,Non
CHR0146,PR0146,Diana,Seno,,Female,23,29,1,1994,157 cm,Nation03,Race02,Present,,Neutral,,Non
CHR0147,PR0147,Nagalan,Mayo,,Male,44,17,4,1973,188 cm,Nation03,Race02,Present,Ruler,Bad,,96th President of Alasban and Enemy of Rivelia. He contracted 7 Days and set 
CHR0148,PR0148,Austin,Nevland,,Male,40,28,2,1977,181 cm,Nation03,Race02,Present,RoyalGuard,Bad,,Presidential Security
CHR0149,PR0149,Orrorra,Heckley,,Male,33,14,4,1984,184 cm,Nation03,Race02,Present,RoyalGuard,Bad,,Presidential Security
CHR0150,PR0150,Cleo,Darneelaz,,Female,31,25,4,1986,167 cm,Nation03,Race02,Present,RoyalGuard,Bad,,Presidential Security
CHR0151,PR0151,Troyden,Carlos,,Male,26,5,5,1991,175 cm,Nation03,Race02,Present,RoyalGuard,Bad,,Presidential Security
CHR0152,PR0152,Lucinder,Prolloys,,Female,21,26,8,1996,150 cm,Nation03,Race02,Present,Student,Neutral,Team07,Non
CHR0153,PR0153,Harmony,Prolloys,,Female,20,29,9,1997,146 cm,Nation03,Race02,Present,Student,Neutral,Team07,Non
CHR0154,PR0154,Gerald,Rowse,,Male,22,19,7,1995,183 cm,Nation03,Race02,Present,Student,Neutral,,Non
CHR0155,PR0155,Arithrea,Yuri,,Female,23,3,8,1994,153 cm,Nation04,Race01,Present,Student,Neutral,Team04,Non
CHR0156,PR0156,Anna,Province,,Female,38,12,2,1979,145 cm,Nation04,Race01,Present,General,Bad,,Highest ranking Army General for the Kingdom of Pillas
CHR0157,PR0157,Rodney,Slayhorn,,Male,33,9,4,1984,175 cm,Nation04,Race01,Present,Admiral,Bad,,Non
CHR0158,PR0158,Aleanee,Steade,,Female,28,22,4,1989,176 cm,Nation04,Race01,Present,Vice-Admiral,Bad,,Non
CHR0159,PR0159,Aldurelli,Kasdeen,,Male,26,16,3,1991,186 cm,Nation04,Race02,Present,Colonel ,Bad,Team01,Non
CHR0160,PR0160,Karen,Hilten,,Female,24,21,1,1993,155 cm,Nation04,Race02,Present,Major,Bad,,Non
CHR0161,PR0161,Alice,Bragga,,Female,35,24,9,1982,170 cm,Nation04,Race03,Present,Lieutenant,Bad,,Non
CHR0162,PR0162,Mira,Chung,,Female,33,25,12,1984,149 cm,Nation04,Race03,Present,Lieutenant,Bad,,Non
CHR0163,PR0163,Bradley,Hawke,,Male,29,8,11,1988,182 cm,Nation04,Race01,Present,Mercenary3star,Bad,Team23,Leader of SeaHawk
CHR0164,PR0164,Janice,Leigh,,Female,27,20,2,1990,170 cm,Nation04,Race01,Present,Mercenary3star,Bad,Team23,Member of SeaHawk. Bradleys lover
CHR0165,PR0165,Taya,Feraightes,,Female,30,22,1,1987,181 cm,Nation04,Race01,Present,Mercenary4star,Bad,Team24,Loves both Kyle and Wildenham. Leader of Theranus
CHR0166,PR0166,Kyle,Torres,,Male,34,29,9,1983,183 cm,Nation04,Race01,Present,Mercenary4star,Bad,Team24,Hates Wildenham. Member of Theranus
CHR0167,PR0167,Wildenham,Kalabane,,Male,29,30,3,1988,181 cm,Nation04,Race01,Present,Mercenary4star,Bad,Team24,Hates Kyle. Member of Theranus
CHR0168,PR0168,Estrella,Nivy,,Female,21,19,12,1996,150 cm,Nation05,Race01,Present,Student,Neutral,,Non
CHR0169,PR0169,Polsen,Ettience,,Male,22,2,7,1995,148 cm,Nation05,Race01,Present,Student,Neutral,,Non
CHR0170,PR0170,Penela,Kasdeen,,Female,23,14,10,1994,175 cm,Nation05,Race01,Present,Student,Neutral,Team01,Non
CHR0171,PR0171,Ashra,Sehi,,Male,38,25,11,1979,173 cm,Nation05,Race01,Present,,Neutral,Team04,Non
CHR0172,PR0172,Ibrahimovic,Pione,,Male,32,2,8,1985,182 cm,Nation05,Race02,Present,,Neutral,,Non
CHR0173,PR0173,Annette,Colssen,,Female,21,15,2,1996,145 cm,Nation05,Race03,Present,Student,Neutral,,Non
CHR0174,PR0174,Ventiga,Liorouch,,Male,21,7,9,1996,151 cm,Nation06,Race01,Present,Student,Neutral,,Non
CHR0175,PR0175,Yarras,Notella,,Male,21,1,11,1996,175 cm,Nation06,Race01,Present,Student,Neutral,,Non
CHR0176,PR0176,Gabranth,Hawkins,,Male,27,21,3,1990,183 cm,Nation06,Race01,Present,,Bad,Team11,Leader of RT-Corp
CHR0177,PR0177,Lukas,Immobile,,Male,24,18,2,1993,173 cm,Nation06,Race01,Present,,Bad,Team11,Members of RT-Corp
CHR0178,PR0178,Zaenus,Notella,,Male,20,27,3,1997,178 cm,Nation06,Race01,Present,,Bad,Team11,Members of RT-Corp
CHR0179,PR0179,Arimea,Langton,,Female,29,23,9,1988,159 cm,Nation06,Race01,Present,,Bad,Team11,Members of RT-Corp
CHR0180,PR0180,Dyramy,Kalinchsk,,Male,32,12,10,1985,172 cm,Nation06,Race01,Present,,Neutral,,Non
CHR0181,PR0181,Katia,Nowinsky,,Female,15,20,7,2002,172 cm,Nation06,Race03,Present,,Neutral,,Non
CHR0182,PR0182,Reiss,Chaplin,,Male,17,7,2,2000,174 cm,Nation06,Race01,Present,,Neutral,,Non
CHR0183,PR0183,Rosalita,Mikowitz,,Female,28,21,8,1989,154 cm,Nation07,Race01,Present,,Neutral,,Non
CHR0184,PR0184,Luis,VaGral,,Male,36,31,9,1981,178 cm,Nation07,Race01,Present,,Neutral,,Non
CHR0185,PR0185,Hector,Fergusson,,Male,47,27,2,1970,173 cm,Nation07,Race01,Present,,Neutral,,Non
CHR0186,PR0186,Old Dr Gashern,Mutch,,Male,80,14,8,1937,170 cm,Nation07,Race01,Past,Scientist,Bad,,Scientist in charge of the V12 Superdrug. Gashern helps unlock Castrien and Vastien's abilities and sets the kids free albeit losing his own life during the plan.
CHR0187,PR0187,Amasay,Tarjim,,Male,28,23,7,1989,194 cm,Nation07,Race01,Present,,Good,,Non
CHR0188,PR0188,Mikeala,Ryazan,,Female,27,2,10,1990,171 cm,Nation07,Race01,Present,,Good,,Non
